,from_node,to_node,edge_tt,edge_var,distance
0,14,15,28.5,2337.667,50.99
1,16,17,8.25,0.917,101.05
2,42,43,6.0,0.667,42.99
3,44,45,3.75,2.25,18.6
4,90,91,80.0,0.0,177.86
5,94,95,49.0,0.0,13.91
6,98,99,8.611,0.605,128.51
7,104,105,1.071,0.071,22.63
8,108,109,28.778,374.694,30.71
9,110,111,9.5,8.5,100.46
10,112,113,5.2,0.622,62.66
11,114,115,114.5,14417.9,40.52
12,116,117,30.5,1300.5,9.82
13,118,119,29.5,1691.0,19.0
14,120,121,41.0,1978.0,21.47
15,122,123,15.5,283.0,58.42
16,124,125,2.25,0.25,31.48
17,126,127,19.4,1110.3,54.49
18,160,161,5.0,2.0,80.97
19,162,163,14.0,0.0,250.33
20,176,177,9.0,2.0,71.63
21,180,181,7.0,0.0,19.08
22,200,201,7.714,1.571,159.67
23,206,207,17.667,8.333,56.26
24,232,233,6.0,0.0,30.91
25,264,265,1.4,0.3,6.31
26,332,333,10.294,0.846,133.91
27,494,495,4.0,0.0,54.03
28,496,497,2.0,0.0,48.35
29,498,499,6.0,0.0,126.35
30,502,503,5.0,0.0,60.86
31,516,517,9.0,0.0,47.21
32,548,549,32.0,0.0,146.71
33,554,555,4.0,0.0,22.08
34,558,559,7.0,0.0,36.12
35,568,569,14.0,0.0,111.17
36,570,571,18.0,0.0,95.94
37,586,587,4.0,0.0,37.82
38,592,593,7.4,0.267,157.69
39,596,597,3.0,0.0,43.68
40,628,629,8.8,12.7,85.11
41,630,631,1.625,0.268,10.81
42,638,639,149.4,178.8,689.29
43,640,641,22.0,0.0,117.06
44,658,659,23.0,18.0,105.41
45,660,661,4.0,0.0,17.58
46,664,665,10.5,4.5,50.36
47,666,667,7.222,0.301,110.74
48,722,723,190.5,12.5,866.53
49,726,727,46.0,0.0,252.87
50,728,729,19.667,6.333,85.98
51,732,733,100.5,8844.5,764.24
52,738,739,7.45,0.787,99.76
53,740,741,1.929,0.071,25.29
54,742,743,13.105,128.433,39.07
55,748,749,15.714,6.571,186.97
56,750,751,5.286,0.571,62.58
57,792,793,6.0,0.0,28.86
58,870,871,8.5,0.5,67.04
59,872,873,3.5,0.5,22.1
60,876,877,9.0,2.0,69.18
61,880,881,4.357,3.324,47.81
62,882,883,11.0,0.0,76.51
63,884,885,5.0,0.0,32.4
64,886,887,6.0,0.0,37.32
65,890,891,7.0,0.0,48.33
66,894,895,6.0,0.0,46.02
67,976,977,15.0,0.0,87.74
68,988,989,3.5,4.5,6.85
69,1048,1049,1.333,0.333,17.09
70,1050,1051,36.0,3675.0,17.3
71,1052,1053,2.667,0.333,35.82
72,1054,1055,7.0,87.333,29.69
73,1056,1057,13.0,268.667,22.2
74,1058,1059,5.0,0.0,5.71
75,1104,1105,6.667,66.333,3.45
76,1202,1203,23.0,0.0,108.53
77,1204,1205,52.0,0.0,75.27
78,1212,1213,10.0,0.0,75.46
79,1216,1217,4.1,0.767,50.47
80,1218,1219,11.1,140.1,29.15
81,1220,1221,2.8,0.844,31.44
82,1222,1223,4.9,0.544,65.62
83,1224,1225,3.1,0.1,39.29
84,1238,1239,65.5,1300.5,83.74
85,1240,1241,85.0,200.0,162.24
86,1250,1251,94.0,0.0,1.56
87,1262,1263,8.0,0.0,28.79
88,1298,1299,3.0,0.0,13.52
89,1356,1357,4.0,0.0,30.44
90,1378,1379,688.0,0.0,37.64
91,1380,1381,114.0,0.0,21.45
92,1382,1383,13.0,0.0,62.93
93,1416,1417,42.0,5575.333,32.93
94,1420,1421,18.0,75.0,96.84
95,1422,1423,8.0,0.0,56.78
96,1428,1429,17.7,4.456,216.65
97,1430,1431,14.8,15.956,139.44
98,1432,1433,6.0,0.667,70.26
99,1434,1435,5.0,1.111,61.02
100,1436,1437,9.5,75.5,61.49
101,1438,1439,4.429,0.418,51.93
102,1440,1441,4.071,0.687,45.48
103,1444,1445,1.214,0.181,16.04
104,1500,1501,11.1,24.1,154.58
105,1502,1503,2.1,0.1,50.04
106,1508,1509,244.0,0.0,5.38
107,1526,1527,2.0,0.0,25.81
108,1538,1539,5.0,0.0,28.64
