,from_node,to_node,edge_tt,edge_var,distance
0,14,15,22.75,1406.25,50.99
1,16,17,8.25,0.25,101.05
2,38,39,2.0,0.0,9.08
3,42,43,5.667,0.333,42.99
4,44,45,4.5,0.5,18.6
5,94,95,61.0,0.0,13.91
6,98,99,8.5,0.7,128.51
7,104,105,1.667,0.333,22.63
8,108,109,66.125,8091.839,30.71
9,110,111,8.333,0.333,100.46
10,112,113,5.333,0.333,62.66
11,114,115,61.5,719.0,40.52
12,118,119,1.25,0.25,19.0
13,120,121,3.25,0.25,21.47
14,122,123,6.25,2.917,58.42
15,124,125,2.75,0.25,31.48
16,126,127,4.25,0.25,54.49
17,154,155,3.5,0.5,17.94
18,160,161,5.111,0.861,80.97
19,162,163,14.143,1.476,250.33
20,176,177,9.0,0.0,71.63
21,182,183,9.0,0.0,19.19
22,194,195,6.0,0.0,38.67
23,196,197,2.0,0.0,9.98
24,200,201,8.333,1.067,159.67
25,202,203,11.0,0.0,77.67
26,206,207,6.667,2.333,56.26
27,260,261,3.0,0.0,28.02
28,264,265,11.8,556.7,6.31
29,266,267,2.0,0.0,4.23
30,332,333,10.526,1.041,133.91
31,360,361,4.0,0.0,41.81
32,384,385,2.0,0.0,14.21
33,392,393,2.5,0.5,12.57
34,402,403,12.0,0.0,170.52
35,404,405,21.0,0.0,281.09
36,406,407,32.0,0.0,416.58
37,408,409,15.0,0.0,182.01
38,432,433,9.5,0.5,124.22
39,494,495,4.333,4.333,54.03
40,496,497,3.0,0.0,48.35
41,498,499,6.0,0.0,126.35
42,502,503,5.0,0.0,60.86
43,538,539,4.0,0.0,19.91
44,560,561,12.0,0.0,79.06
45,566,567,5.0,0.0,40.12
46,570,571,19.0,2.0,95.94
47,578,579,12.0,0.0,47.49
48,592,593,7.9,1.878,157.69
49,596,597,4.0,0.0,43.68
50,628,629,18.75,731.357,85.11
51,630,631,1.167,0.167,10.81
52,632,633,1.25,0.25,3.75
53,638,639,140.0,0.0,689.29
54,640,641,25.0,0.0,117.06
55,642,643,19.0,0.0,100.7
56,656,657,21.0,0.0,102.28
57,658,659,21.0,0.0,105.41
58,660,661,3.0,0.0,17.58
59,666,667,7.0,0.8,110.74
60,702,703,180.0,0.0,795.49
61,726,727,50.667,33.333,252.87
62,728,729,18.75,8.25,85.98
63,738,739,6.0,0.0,99.76
64,748,749,15.25,6.917,186.97
65,750,751,5.4,0.3,62.58
66,812,813,5.0,0.0,28.88
67,834,835,8.0,8.0,30.6
68,870,871,8.0,0.0,67.04
69,872,873,3.0,0.0,22.1
70,876,877,10.0,0.0,69.18
71,880,881,6.2,44.4,47.81
72,1048,1049,1.25,0.25,17.09
73,1052,1053,3.0,0.667,35.82
74,1054,1055,2.167,0.167,29.69
75,1056,1057,20.0,246.5,22.2
76,1090,1091,17.0,0.0,74.21
77,1162,1163,3.0,0.0,13.96
78,1166,1167,9.5,0.5,45.02
79,1204,1205,43.0,0.0,75.27
80,1216,1217,4.0,0.286,50.47
81,1218,1219,5.625,52.268,29.15
82,1220,1221,2.625,0.268,31.44
83,1222,1223,5.5,0.571,65.62
84,1224,1225,3.875,0.125,39.29
85,1226,1227,1.667,0.333,4.29
86,1228,1229,73.5,97.0,142.94
87,1294,1295,6.0,0.0,33.71
88,1298,1299,14.0,0.0,13.52
89,1308,1309,4.0,0.0,21.45
90,1428,1429,18.167,2.167,216.65
91,1430,1431,14.333,1.467,139.44
92,1432,1433,5.714,0.905,70.26
93,1434,1435,5.0,0.333,61.02
94,1436,1437,5.4,0.933,61.49
95,1438,1439,6.1,20.767,51.93
96,1440,1441,4.0,0.0,45.48
97,1444,1445,1.111,0.111,16.04
98,1458,1459,19.0,0.0,39.29
99,1472,1473,48.0,0.0,18.08
100,1500,1501,11.583,52.447,154.58
101,1502,1503,2.333,0.242,50.04
102,1526,1527,2.0,0.0,25.81
103,1528,1529,1.25,0.25,15.45
104,1548,1549,21.0,0.0,113.24
105,1562,1563,13.0,0.0,64.87
106,1586,1587,3.0,0.0,14.24
107,1588,1589,4.0,0.0,44.45
108,1590,1591,3.5,0.5,43.15
109,1592,1593,7.5,0.5,87.25
110,1600,1601,18.385,592.09,54.16
111,1602,1603,8.923,3.744,104.49
112,1604,1605,1.333,0.667,7.84
113,1606,1607,8.0,1.0,96.18
114,1608,1609,7.429,0.619,90.09
115,1610,1611,6.571,0.619,76.59
116,1616,1617,7.571,0.952,89.18
117,1620,1621,1.75,0.214,21.93
118,1646,1647,1.5,0.333,18.51
119,1648,1649,10.5,0.333,145.56
120,1650,1651,6.0,0.0,81.08
121,1658,1659,2.0,0.0,24.53
122,1662,1663,11.0,0.0,121.31
123,1664,1665,8.0,0.0,85.38
124,1666,1667,2.0,0.0,7.52
125,1668,1669,5.5,0.5,34.72
126,1670,1671,8.5,0.5,50.69
127,1690,1691,2.0,9.0,9.23
128,1694,1695,2.818,0.164,54.28
129,1704,1705,10.8,290.2,16.48
130,1706,1707,1.75,0.25,14.72
131,1732,1733,3.0,0.0,9.27
132,1738,1739,7.0,0.0,40.48
133,1812,1813,13.0,0.0,76.45
134,1834,1835,10.0,0.0,83.29
135,1836,1837,4.0,0.0,38.07
136,1852,1853,3.0,0.0,27.43
137,1924,1925,8.0,0.0,66.4
138,1926,1927,3.0,0.0,23.68
139,1938,1939,7.0,0.0,102.05
140,1940,1941,10.0,0.0,131.49
141,2002,2003,12.0,0.0,56.01
142,2010,2011,7.8,0.2,95.45
143,2012,2013,11.0,0.5,138.42
144,2016,2017,10.5,3.0,97.1
145,2018,2019,3.5,0.333,45.29
146,2020,2021,1.25,0.25,18.69
147,2022,2023,5.25,0.25,71.13
148,2024,2025,1.75,0.25,23.9
149,2060,2061,25.0,0.0,9.38
150,2062,2063,14.0,0.0,31.6
151,2064,2065,12.0,2.0,26.51
152,2080,2081,2.0,0.0,8.44
153,2082,2083,23.0,722.0,22.47
154,2084,2085,2.5,0.5,13.98
155,2086,2087,31.25,850.786,27.41
156,2088,2089,17.5,339.143,28.15
157,2090,2091,3.875,8.696,40.76
158,2092,2093,2.714,0.238,33.11
159,2122,2123,2.0,0.0,11.92
160,2124,2125,2.5,0.5,13.32
161,2126,2127,11.5,4.5,70.98
162,2130,2131,2.0,1.333,15.04
163,2134,2135,55.0,0.0,295.21
164,2136,2137,56.0,0.0,271.07
165,2148,2149,4.333,0.333,46.21
166,2150,2151,29.2,75.2,92.59
167,2158,2159,1.5,0.5,21.71
168,2162,2163,3.0,0.0,31.1
169,2164,2165,2.0,0.0,27.68
170,2168,2169,3.0,0.0,29.55
171,2170,2171,5.0,0.0,65.18
172,2172,2173,1.333,0.333,21.11
173,2174,2175,1.333,0.333,22.19
174,2178,2179,7.5,0.5,76.27
175,2180,2181,7.5,0.5,81.11
176,2182,2183,6.5,0.5,74.04
177,2184,2185,13.0,1.0,145.3
178,2188,2189,5.333,0.333,53.01
179,2190,2191,5.409,9.872,48.33
180,2192,2193,6.909,78.658,19.48
181,2194,2195,1.857,15.429,10.69
182,2196,2197,5.182,28.823,50.72
183,2202,2203,3.0,0.0,26.36
184,2250,2251,4.0,0.0,26.6
185,2252,2253,9.0,0.0,75.92
186,2268,2269,23.0,0.0,119.47
187,2278,2279,8.0,0.0,65.69
188,2280,2281,3.0,0.0,31.31
189,2282,2283,7.0,0.0,63.41
190,2284,2285,7.0,0.0,51.86
191,2298,2299,8.0,0.0,66.9
192,2300,2301,5.0,0.0,36.5
193,2304,2305,4.0,0.0,21.8
194,2318,2319,15.0,0.0,69.11
195,2326,2327,7.333,0.667,106.64
196,2340,2341,11.0,0.0,120.99
197,2342,2343,5.0,0.0,59.13
198,2344,2345,3.0,0.0,41.7
199,2386,2387,11.0,0.0,84.93
200,2388,2389,22.0,0.0,177.71
201,2390,2391,10.0,0.0,84.61
202,2392,2393,7.111,1.111,101.2
203,2394,2395,2.111,0.111,36.53
204,2396,2397,18.111,3.361,270.15
205,2428,2429,11.0,0.0,68.45
206,2466,2467,18.8,3.2,197.5
207,2468,2469,2.4,0.3,27.78
208,2470,2471,19.4,17.8,270.5
209,2472,2473,2.0,0.0,26.27
210,2478,2479,4.0,0.0,21.09
211,2500,2501,4.667,0.333,33.17
212,2510,2511,4.0,0.0,11.32
213,2516,2517,23.0,0.0,126.59
214,2518,2519,18.0,0.0,87.61
215,2558,2559,3.5,1.429,36.94
216,2560,2561,6.222,0.444,74.12
217,2618,2619,13.222,23.694,47.63
218,2626,2627,9.0,1.0,101.54
219,2632,2633,3.333,0.333,26.49
220,2636,2637,2.333,0.333,15.75
221,2640,2641,9.0,0.0,40.19
222,2644,2645,20.0,0.0,84.18
223,2652,2653,84.667,18336.333,17.27
224,2654,2655,63.667,7105.333,71.79
225,2656,2657,13.0,0.0,62.2
226,2664,2665,21.25,621.071,35.7
227,2666,2667,76.75,13523.643,114.09
228,2668,2669,2.0,2.857,14.3
229,2670,2671,25.222,5226.194,11.8
230,2676,2677,22.0,0.0,133.12
231,2728,2729,5.0,0.0,23.57
232,2732,2733,4.5,0.5,25.07
233,2742,2743,2.0,0.0,14.07
234,2762,2763,17.667,6.333,82.0
235,2796,2797,5.0,0.0,22.26
236,2814,2815,12.0,0.0,75.96
237,2816,2817,15.0,0.0,103.14
238,2818,2819,7.0,0.0,53.52
239,2820,2821,5.0,0.0,36.9
240,2826,2827,3.8,1.2,39.6
241,2828,2829,18.0,3.5,207.1
242,2830,2831,5.6,0.8,65.61
243,2844,2845,9.0,0.0,193.83
