,index,from_node,to_node,source_edge_id,edge_tt,edge_var,distance
5007,25170,27872,27873,23621955#12,3.6,0.29999999999999993,18.79
5008,25174,27874,27875,23621955#2,5.5,0.3333333333333333,26.36
5009,25178,27876,27877,23621955#3,2.75,0.9166666666666666,7.53
5010,25182,27878,27879,23621955#4,4.25,0.9166666666666669,22.83
5011,25186,27880,27881,23621955#5,3.8,0.20000000000000004,25.51
5012,25190,27882,27883,23621955#6,6.4,0.2999999999999999,31.57
5013,25194,27884,27885,23621955#7,6.8,0.7,41.82
5014,25198,27886,27887,23621955#8,8.4,0.30000000000000004,49.84
5015,25202,27888,27889,23621955#9,4.4,0.30000000000000004,23.6
5016,25209,27898,27899,23622054#0,29.0,0.0,56.9
5017,25211,27904,27905,23622056#4,14.0,0.0,91.13
5018,25215,27906,27907,23622056#5,3.0,0.0,11.96
5019,25219,27908,27909,23622056#6,5.0,0.0,30.81
5020,25227,27914,27915,23622106#10,3.0,0.0,18.52
5021,25230,27916,27917,23622106#15,8.0,0.0,23.42
5022,25234,27918,27919,23622106#16,1.0,0.0,5.07
5023,25238,27920,27921,23622106#17,3.0,0.0,6.09
5024,25242,27922,27923,23622106#18,4.0,0.0,29.78
5025,25246,27924,27925,23622106#19,7.0,0.0,42.43
5026,25263,27936,27937,23622106#8,2.0,0.0,3.61
5027,25266,27938,27939,23622106#9,3.0,0.0,13.31
