,index,from_node,to_node,source_edge_id,edge_tt,edge_var,distance
0,0,0,1,--153692837#1,6.0,0.0,43.86
1,4,2,3,-101238042,7.0,0.0,25.49
2,7,4,5,-101731827#0,4.0,0.0,1.56
3,11,6,7,-101731827#1,1.75,0.25,3.01
4,21,14,15,-102818928#0,5.25,0.3333333333333336,50.99
5,25,16,17,-102818928#1,12.125,0.9166666666666666,101.05
6,32,20,21,-103053774#0,4.0,0.0,3.7
7,36,22,23,-103053774#1,1.0,0.0,0.28
8,55,36,37,-103053803,13.0,0.0,41.75
9,59,38,39,-103396186,7.0,0.0,9.08
10,63,40,41,-103512657,8.0,0.0,41.93
11,67,42,43,-103512667#0,9.2,0.4,42.99
12,71,44,45,-103512667#2,4.6,0.2666666666666667,18.6
13,78,48,49,-103671248,4.0,0.0,4.61
14,83,52,53,-103671264,3.2857142857142856,0.5142857142857142,32.59
15,95,60,61,-103671267#11,2.0,0.0,2.47
16,102,64,65,-103671267#13,2.0,0.0,3.26
17,106,66,67,-103671267#14,20.0,0.0,94.31
18,112,70,71,-103671267#3,2.5,0.5,4.07
19,115,72,73,-103671267#4,2.0,2.0,1.96
20,118,74,75,-103671267#5,2.5,0.5,3.02
21,128,82,83,-103671270,4.85,0.4500000000000001,48.69
22,143,92,93,-103687101,1.0,0.0,0.2
23,151,98,99,-1040258009,8.239583333333334,0.3946271929824564,128.51
24,155,100,101,-104236368#0,10.0,0.0,68.52
25,159,102,103,-104236369,0.9230769230769231,0.07692307692307691,3.18
26,163,104,105,-1042557946,1.957142857142857,0.15755693581780533,22.63
27,167,106,107,-1042557947,1.1428571428571428,0.12422360248447205,11.41
28,171,108,109,-10425610#1,15.277777777777779,143.0359477124183,30.71
29,175,110,111,-10425611#0,10.81132075471698,11.156023222060954,100.46
30,179,112,113,-10425611#1,6.566037735849057,0.5965166908563133,62.66
31,183,114,115,-10427692#1,20.666666666666668,226.5,40.52
32,187,116,117,-10427692#2,1.6666666666666667,0.25,9.82
33,191,118,119,-10427692#3,3.5555555555555554,0.5277777777777778,19.0
34,195,120,121,-10427692#4,3.9166666666666665,0.26515151515151497,21.47
35,199,122,123,-10427692#5,5.0,0.3333333333333333,58.42
36,203,124,125,-10427692#6,2.8461538461538463,0.14102564102564105,31.48
37,207,126,127,-10427692#7,6.076923076923077,0.24358974358974358,54.49
38,216,134,135,-105143683#0,25.125,1.2678571428571421,112.05
39,220,138,139,-105467137,11.0,0.0,68.83
40,225,142,143,-105540411,10.0,0.0,36.62
41,234,148,149,-10597454#1,52.2,1473.7,13.2
42,238,150,151,-10597454#2,4.714285714285714,0.23809523809523833,28.86
43,242,152,153,-10597455#0,1.0,0.0,0.2
44,246,154,155,-10597455#1,6.25,0.9166666666666669,17.94
45,252,160,161,-107431496#0,5.904761904761905,2.7904761904761903,80.97
46,256,162,163,-107431496#1,16.071428571428573,0.6868131868131864,250.33
47,260,166,167,-108237964#0,4.0,0.0,3.79
48,264,168,169,-108237964#1,13.0,0.0,52.02
49,268,170,171,-108237964#2,3.3333333333333335,4.333333333333333,6.04
50,278,176,177,-108239938,9.375,0.3833333333333334,71.63
51,282,178,179,-108240279#0,9.5,4.5,5.18
52,286,180,181,-108240279#1,14.666666666666666,11.249999999999996,19.08
53,290,182,183,-108240279#2,15.222222222222221,18.871794871794876,19.19
54,298,190,191,-108310250,0.92,0.24333333333333332,2.67
55,302,192,193,-108310251,1.4666666666666666,0.2666666666666667,7.88
56,306,194,195,-108310252,6.533333333333333,0.40952380952380923,38.67
57,310,196,197,-108310253,4.625,0.7833333333333333,9.98
58,315,200,201,-10941814,9.0,6.8,159.67
59,319,202,203,-10941825,10.625,0.553571428571429,77.67
60,323,204,205,-109483355,8.0,0.0,45.69
61,327,206,207,-11014139#1,13.608695652173912,52.06719367588933,56.26
62,331,208,209,-110212545,30.666666666666668,2.333333333333332,146.58
63,339,224,225,-112979077,6.5,4.5,36.69
64,346,228,229,-112979094#0,8.0,0.0,21.62
65,350,230,231,-112979094#1,3.0,0.0,6.4
66,354,232,233,-112979110,6.666666666666667,0.33333333333333326,30.91
67,362,238,239,-113796181#1,2.857142857142857,1.1428571428571428,0.55
68,366,240,241,-113796181#2,2.8,0.20000000000000004,0.14
69,370,242,243,-113796181#3,2.0,0.0,2.26
70,373,244,245,-113796181#4,7.0,0.0,31.47
71,376,246,247,-113796181#5,9.5,0.5,34.85
72,379,248,249,-113796182,5.0,0.0,24.97
73,387,256,257,-113796197,6.0,0.0,21.4
74,391,260,261,-114198606#1,22.8,184.2,28.02
75,400,266,267,-115082374#0,5.0,0.0,4.23
76,418,284,285,-115881039,31.666666666666668,1.3333333333333321,230.28
77,419,286,287,-115881041#0,11.5,0.5,72.84
78,423,288,289,-115881041#1,4.0,0.0,21.26
79,427,290,291,-115881041#2,15.5,0.5,108.36
80,431,292,293,-115881041#3,5.5,0.5,26.21
81,435,294,295,-115881041#4,12.0,2.0,68.01
82,439,296,297,-115881043#0,12.4,0.29999999999999993,123.9
83,443,298,299,-115881043#10,3.0,0.0,11.25
84,446,300,301,-115881043#11,17.0,0.0,102.96
85,449,302,303,-115881043#2,4.6,0.3,19.16
86,453,304,305,-115881043#4,4.4,0.2999999999999999,20.18
87,457,306,307,-115881043#5,8.5,0.5,36.83
88,461,308,309,-115881043#7,2.0,0.0,4.27
89,465,310,311,-115881043#8,3.0,0.0,9.19
90,468,312,313,-115881043#9,8.0,0.0,46.08
91,471,318,319,-115881048#0,5.0,1.0,19.18
92,474,320,321,-115881048#1,8.0,0.0,50.43
93,480,330,331,-116297381,57.0,0.0,240.68
94,482,332,333,-116765451#1,11.0,0.5925925925925926,133.91
95,486,334,335,-116765451#2,1.4363636363636363,0.36161616161616156,4.02
96,490,336,337,-116765457#1,4.782608695652174,1.5415019762845852,2.04
97,496,340,341,-117560677,10.0,0.0,42.31
98,502,346,347,-118004640#1,6.25,0.21428571428571425,35.57
99,506,348,349,-118004640#1.47,5.375,20.553571428571427,8.82
100,510,350,351,-118004640#2,2.125,0.12500000000000006,0.13
101,514,352,353,-118004640#4,1.875,0.125,2.5
102,518,354,355,-118004640#5,3.75,0.25000000000000006,9.63
103,532,364,365,-118604350,3.0,0.0,13.51
104,535,366,367,-118604351#0,3.0,0.0,5.16
105,538,368,369,-118604351#1,8.0,0.0,31.8
106,542,370,371,-118604351#2,12.0,0.0,57.72
107,546,372,373,-118604351#3,1.0,0.0,2.56
108,555,380,381,-118604354,3.6666666666666665,1.3333333333333335,13.05
109,563,388,389,-118604358,4.0,0.0,12.61
110,565,390,391,-118604359,5.0,0.0,12.42
111,575,400,401,-118607467,19.0,0.0,87.72
112,607,430,431,-118607487#0,1.375,0.2678571428571429,1.99
113,611,432,433,-118607487#1,11.5,2.7000000000000006,124.22
114,615,434,435,-118607487#10,1.5,0.5,8.9
115,619,436,437,-118607487#11,3.5,0.5,10.15
116,635,446,447,-118607487#2,1.25,0.25,7.63
117,639,448,449,-118607487#3,1.0,0.0,6.8
118,643,450,451,-118607487#4,1.5,0.7,5.94
119,647,452,453,-118607487#5,2.0,0.4,8.89
120,651,454,455,-118607487#6,1.75,0.25,8.38
121,655,456,457,-118607487#7,1.75,0.25,7.45
122,659,458,459,-118607487#8,1.0,0.0,8.78
123,663,460,461,-118607487#9,2.0,0.0,5.68
124,667,462,463,-118607492,25.0,0.0,106.27
125,673,466,467,-118607504#4,101.0,0.0,460.6
126,679,472,473,-118607504#7,1.0,0.0,2.17
127,693,492,493,-118623881,43.0,0.0,178.35
128,695,494,495,-11940927#0,4.8,2.2,54.03
129,699,496,497,-11940927#1,2.8,0.7,48.35
130,703,498,499,-11940927#2,6.6,0.8,126.35
131,707,500,501,-11940927#3,2.6,0.8,20.69
132,711,502,503,-11940927#4,7.5,0.3333333333333333,60.86
133,717,508,509,-119621360#0,2.2,2.7,0.2
134,724,516,517,-120033065,12.555555555555555,3.5277777777777786,47.21
135,732,522,523,-120033068#1,6.0,0.0,11.45
136,738,528,529,-120033077,27.0,8.0,100.97
137,741,530,531,-120033091#0,20.5,0.5,100.58
138,747,534,535,-120033097,3.6,0.30000000000000004,5.05
139,753,538,539,-120033098#3,6.0,0.0,19.91
140,759,542,543,-120033098#5,15.75,0.25000000000000017,61.67
141,763,544,545,-120033098#6,1.0769230769230769,0.07692307692307691,1.67
142,767,546,547,-120033098#7,2.125,0.11666666666666664,0.2
143,771,548,549,-120033100#0,32.8,3.1999999999999975,146.71
144,775,550,551,-120033100#1,2.0,0.5,0.2
145,779,552,553,-120033103,20.5,0.5,91.05
146,783,554,555,-120033104#0,6.583333333333333,0.6287878787878787,22.08
147,787,556,557,-120033104#1,2.4,2.3,3.85
148,791,558,559,-120125554,8.0,0.0,36.12
149,799,568,569,-120416766#1,17.0,1.0909090909090906,111.17
150,803,570,571,-120416786,21.6875,1.5625000000000013,95.94
151,811,576,577,-121110648#0,15.0,0.0,59.39
152,815,578,579,-121110648#1,12.0,0.0,47.49
153,819,580,581,-121460647,2.6,0.2666666666666667,0.2
154,823,582,583,-121460649#0,2.0,0.0,2.43
155,825,584,585,-121460649#1,16.5,0.5,77.22
156,827,586,587,-121549474,7.0,0.0,37.82
157,829,588,589,-124194339#0,8.333333333333334,0.3333333333333335,56.97
158,832,590,591,-124194339#1,4.5,0.5,19.26
159,833,592,593,-125002584,8.401639344262295,0.3580138192656818,157.69
160,837,594,595,-125002604#0,1.9230769230769231,0.07384615384615385,14.03
161,841,596,597,-125002604#1,3.6923076923076925,0.2215384615384616,43.68
162,845,600,601,-125014858#0,20.0,0.0,27.29
163,848,602,603,-125014858#1,12.0,0.0,22.99
164,855,628,629,-126446062#0,11.6875,63.888449367088604,85.11
165,859,630,631,-126446062#1,2.4078947368421053,0.6447368421052634,10.81
166,863,632,633,-126446062#2,1.6933333333333334,0.5668468468468465,3.75
167,867,634,635,-126446076,41.4,2.8000000000000007,196.59
168,870,636,637,-126446078,70.0,0.0,327.35
169,874,638,639,-126446083,148.85714285714286,202.47619047619037,689.29
170,884,644,645,-126446100,24.75,0.2499999999999997,114.83
171,888,646,647,-126446102,15.0,0.0,73.46
172,892,648,649,-126446106,39.714285714285715,5.238095238095236,180.04
173,896,650,651,-126446109,23.0,0.0,115.13
174,899,652,653,-126446111#0,6.0,2.0,26.2
175,902,654,655,-126446115,21.5,0.5,94.66
176,906,656,657,-126446127#0,23.857142857142858,3.476190476190475,102.28
