,index,from_node,to_node,source_edge_id,edge_tt,edge_var,distance
0,0,0,1,--153692837#1,7.0,0.0,43.86
1,6,14,15,-102818928#0,5.0,0.0,50.99
2,8,16,17,-102818928#1,13.0,0.0,101.05
3,22,50,51,-103671254,7.0,0.0,23.07
4,23,52,53,-103671264,3.0,0.0,32.59
5,34,82,83,-103671270,5.0,0.0,48.69
6,37,98,99,-1040258009,8.2,1.7,128.51
7,44,104,105,-1042557946,2.0,0.0,22.63
8,48,106,107,-1042557947,1.0,0.0,11.41
9,52,108,109,-10425610#1,33.0,0.0,30.71
10,54,110,111,-10425611#0,10.666666666666666,21.333333333333336,100.46
11,58,112,113,-10425611#1,6.0,1.0,62.66
12,62,114,115,-10427692#1,38.0,0.0,40.52
13,65,116,117,-10427692#2,1.0,0.0,9.82
14,67,118,119,-10427692#3,3.0,0.0,19.0
15,69,120,121,-10427692#4,4.0,0.0,21.47
16,77,134,135,-105143683#0,28.0,0.0,112.05
17,85,160,161,-107431496#0,4.0,0.0,80.97
18,88,162,163,-107431496#1,16.0,0.0,250.33
19,99,190,191,-108310250,1.0,0.0,2.67
20,110,200,201,-10941814,7.4,0.30000000000000016,159.67
21,116,206,207,-11014139#1,5.5,0.5,56.26
22,123,232,233,-112979110,6.0,0.0,30.91
23,135,332,333,-116765451#1,11.666666666666666,0.3333333333333335,133.91
24,139,334,335,-116765451#2,2.0,0.0,4.02
25,143,336,337,-116765457#1,5.0,0.0,2.04
26,191,508,509,-119621360#0,4.0,0.0,0.2
27,218,592,593,-125002584,8.142857142857142,0.4761904761904763,157.69
28,222,594,595,-125002604#0,1.5,0.5,14.03
29,224,596,597,-125002604#1,3.5,0.5,43.68
30,226,628,629,-126446062#0,9.5,1.0000000000000002,85.11
31,230,630,631,-126446062#1,2.3333333333333335,0.33333333333333337,10.81
32,234,632,633,-126446062#2,1.3333333333333333,0.33333333333333337,3.75
33,239,666,667,-126909938,7.4,0.3,110.74
34,255,738,739,-128070665#1,10.5,1.9,99.76
35,259,740,741,-128070666#0,5.666666666666667,0.3333333333333335,25.29
36,263,742,743,-128070667#1,38.666666666666664,70.33333333333331,39.07
37,267,744,745,-128070698#0,4.0,0.0,0.2
38,271,746,747,-128070718,84.5,40.5,401.53
39,272,748,749,-128361102#0,16.0,1.0,186.97
40,276,750,751,-128361102#1,6.0,0.0,62.58
41,282,866,867,-128361165#1,7.0,0.0,28.86
42,283,872,873,-128668758#1,5.5,0.5,22.1
43,285,876,877,-128668758#3,11.5,4.5,69.18
44,287,880,881,-128906555,4.0,0.0,47.81
45,297,902,903,-129130810#0,20.0,0.0,81.61
46,317,1048,1049,-129379920#1,2.0,0.0,17.09
47,321,1050,1051,-129379920#1.28,1.3333333333333333,0.3333333333333333,17.3
48,325,1052,1053,-129379922,3.5,0.5,35.82
49,332,1056,1057,-129379925.33,20.0,0.0,22.2
50,337,1086,1087,-129379940,15.0,0.0,72.83
51,340,1100,1101,-129379950#0,3.0,0.0,11.95
52,341,1104,1105,-129379952#1,4.333333333333333,0.33333333333333326,3.45
53,362,1126,1127,-129379952#2,3.0,0.0,0.62
54,380,1148,1149,-129379952#3,2.5,4.5,0.83
55,387,1152,1153,-129379952#4,3.0,0.0,1.22
56,391,1154,1155,-129379952#5,4.0,0.0,0.5
57,395,1156,1157,-129379952#6,3.0,0.0,0.2
58,399,1158,1159,-129379952#7,3.0,0.0,1.58
59,414,1174,1175,-129379958#2,1.0,0.0,0.2
60,416,1176,1177,-129379958#3,2.0,0.0,0.2
61,419,1182,1183,-129379962#2,11.0,0.0,43.61
62,420,1184,1185,-129379962#3,4.0,0.0,4.68
63,421,1204,1205,-130185484#0,40.0,0.0,75.27
64,422,1214,1215,-130185486#2,11.0,0.0,69.67
65,423,1216,1217,-130185488#1,5.0,0.0,50.47
66,427,1218,1219,-130185488#1.58,2.0,0.0,29.15
67,431,1220,1221,-130185488#2,3.5,0.5,31.44
68,435,1222,1223,-130185488#3,5.0,0.0,65.62
69,439,1224,1225,-130185488#4,4.5,0.5,39.29
70,443,1226,1227,-130185490#1,7.0,0.0,4.29
71,450,1270,1271,-131118464#0,1.0,0.0,0.2
72,452,1272,1273,-131118464#1,2.0,0.0,1.49
73,453,1274,1275,-131118464#2,2.0,0.0,2.7
74,454,1282,1283,-131634117#1,2.0,0.0,4.97
75,456,1284,1285,-131634117#2,3.0,0.0,0.2
76,458,1286,1287,-131634117#3,6.0,0.0,12.46
77,459,1288,1289,-131634117#5,7.0,0.0,16.78
78,460,1294,1295,-131634134#0,9.0,0.0,33.71
79,463,1296,1297,-131634134#1,5.0,0.0,1.52
80,493,1424,1425,-136618617#4,4.0,0.0,25.73
81,496,1428,1429,-136728344#0,19.5,0.5,216.65
82,500,1430,1431,-136728344#3,14.0,0.0,139.44
83,504,1432,1433,-136728344#4,7.0,0.0,70.26
84,508,1434,1435,-136728344#4.82,5.0,0.0,61.02
85,512,1436,1437,-136728347#0,6.0,0.0,61.49
86,516,1438,1439,-136728347#1,4.333333333333333,0.3333333333333335,51.93
87,520,1440,1441,-136728347#2,4.0,0.0,45.48
88,524,1442,1443,-136728347#3,1.0,0.0,3.88
89,528,1444,1445,-136728347#4,2.3333333333333335,0.33333333333333326,16.04
90,534,1462,1463,-136728351#3,130.0,0.0,262.11
91,537,1500,1501,-136888519#0,8.0,0.0,154.58
92,541,1502,1503,-136888519#1,2.0,0.0,50.04
93,545,1506,1507,-136900855,3.0,0.0,9.86
94,549,1526,1527,-137246371#1,2.8,0.19999999999999996,25.81
95,553,1528,1529,-137246371#2,2.0,0.5,15.45
96,557,1530,1531,-137246375,5.0,0.0,1.18
97,569,1594,1595,-137463474#0,21.5,84.5,76.85
98,571,1596,1597,-137463474#1,9.0,0.0,54.44
99,572,1598,1599,-137463475#0,1.0,0.0,2.88
100,574,1600,1601,-137463475#1,5.0,0.0,54.16
101,576,1602,1603,-137463475#2,10.0,0.0,104.49
102,578,1604,1605,-137463478#1,2.0,0.0,7.84
103,580,1606,1607,-137463478#1.16,8.0,0.0,96.18
104,582,1608,1609,-137463478#2,8.5,0.5,90.09
105,584,1610,1611,-137463478#3,8.0,0.0,76.59
106,586,1616,1617,-137672872,9.777777777777779,1.1944444444444444,89.18
107,590,1620,1621,-137685135,5.0,0.0,21.93
108,593,1646,1647,-138002149#1,2.4,0.30000000000000004,18.51
109,597,1648,1649,-138002149#2,12.4,2.3,145.56
110,601,1650,1651,-138002149#3,8.0,0.5000000000000002,81.08
111,605,1656,1657,-138300617#0,1.0,0.0,17.18
112,607,1658,1659,-138300617#1,2.5,0.5,24.53
113,609,1660,1661,-138300617#2,1.5,0.5,5.48
