simulation_time,travel_time_factor,speed,speed_nw
0,1.9947423899155767,22.12303753746782,44.12976076968059
3600,1.8752903696030447,23.457839368466143,43.99026025937973
7200,1.8177097860887603,24.22012668981036,44.02516130437787
10800,1.7888816302755153,24.770060230959025,44.31070572798068
14400,1.7858970420036369,25.016444439118544,44.67679412527014
18000,1.8178926065922516,24.686307441752696,44.8770557824255
21600,2.133881341514066,21.04482482277503,44.9071590247517
25200,2.823233252482025,16.010187048346683,45.2004924533494
28800,3.560881178941956,12.680701118694785,45.15446994934846
32400,3.786330228742846,11.840671136633636,44.83269105323885
36000,3.895577524500188,11.53211540574916,44.92424958457879
39600,4.08165073899788,10.965275782892952,44.75642600256059
43200,4.149998337985406,10.789973447727698,44.77837187497661
46800,4.143356832224742,10.795306644463768,44.72880754130011
50400,4.066384301332947,11.00762807482923,44.76124599839739
54000,4.048874285468736,11.048680815249275,44.73471964121455
57600,3.958268193925093,11.292590860034087,44.69910322828214
61200,4.033223841656716,11.099635247286464,44.76731351304901
64800,3.757513412228022,11.84203716451226,44.49661347375751
68400,3.290440321119384,13.493288911683106,44.398861899515175
72000,2.921290664311948,15.256082291882713,44.56745077325179
75600,2.738128107604775,16.274303548382534,44.56112797751834
79200,2.5612565386818207,17.43403252296952,44.6530297950472
82800,2.3378399386388744,18.945432417977678,44.29138856153187
