simulation_time,travel_time_factor,speed,speed_nw
0,2.5162837193139658,17.372017525159087,43.712924870194705
3600,2.2517500846328486,19.206309298043717,43.24780858735461
7200,2.097034629384875,20.464379490946214,42.91451246138783
10800,1.9779344660028806,21.814371849930414,43.14739793618038
14400,1.829623640450179,23.97266169805625,43.86094856727824
18000,1.699002052473446,26.18104442246243,44.48164820966213
21600,1.6873811524549946,26.803461732166774,45.22765614740692
25200,1.8404817538501212,24.54610806895781,45.176664028950086
28800,2.0445576708372575,22.04117381792237,45.0644510036905
32400,2.258708143146653,19.93305148067086,45.02294569715272
36000,2.5117603547325773,17.828719911766008,44.781471850005154
39600,2.8357833146463616,15.736310764054542,44.624767498795805
43200,3.1104566187851868,14.353769854800936,44.64677844938486
46800,3.246372900991931,13.696039445197275,44.462451305805
50400,3.376480647182583,13.21150889683664,44.60840411024943
54000,3.3691842169162025,13.227120942802047,44.56460711573042
57600,3.303016131323719,13.495840855451736,44.576980051334786
61200,3.2850008893383285,13.558585873141821,44.539966651440984
64800,3.1948581502142255,13.851757268138677,44.25439960290199
68400,2.921586260347138,15.108997466338204,44.142239405273415
72000,2.5974886188377497,17.00151324529631,44.16123715767642
75600,2.34904995133753,18.788985893071033,44.13626639780005
79200,2.180865713913707,20.219737010882273,44.096531191385175
82800,1.9643191932776534,22.509857578041583,44.21654527849352
86400,1.8330668041805944,24.12679655252474,44.22602985165191
90000,1.7643063209940792,25.113773691206625,44.30838966741066
93600,1.7580750575042219,25.141496851824527,44.20063852351362
97200,1.6994603333603242,26.1444864290748,44.43151762228993
100800,1.644644499332353,27.160672857721305,44.66965121361689
104400,1.7048405241042544,26.3947840911233,44.99889754352928
108000,1.9374439414297573,23.22104277090699,44.98946863017501
111600,2.4543325808261383,18.46554897817521,45.320598479976226
115200,2.9740714743918786,15.185403489957555,45.16247534661365
118800,3.1536227905797833,14.258082193821338,44.96461295639477
122400,3.1890906673586508,14.05742243645696,44.83039469922299
126000,3.3187602567559753,13.527026349428281,44.89295744057345
129600,3.281037129708729,13.62592332031505,44.707160340517724
133200,3.1698749932534596,14.131792850536092,44.79601676675238
136800,3.1629289606068753,14.144143124351551,44.736919910980134
140400,3.173140984237293,14.110905255335323,44.77589179039392
144000,3.088942768984315,14.472981393255791,44.70621122034201
147600,3.094956373006725,14.425098178851375,44.645049539883765
151200,2.8944447079822013,15.35590901130163,44.4468295740182
154800,2.5740194561153578,17.284060816200743,44.4895088215818
158400,2.337576648001054,19.030625724569585,44.485546290602
162000,2.2475480036336277,19.80647068873627,44.51599365549716
165600,2.2498031768310245,19.721736448581062,44.37002531464188
