simulation_time,travel_time_factor,speed,speed_nw
0,1.8330668041805944,24.12679655252474,44.22602985165191
3600,1.7643063209940792,25.113773691206625,44.30838966741066
7200,1.758075057504222,25.141496851824527,44.20063852351362
10800,1.6994603333603242,26.1444864290748,44.43151762228993
14400,1.644644499332353,27.160672857721305,44.66965121361689
18000,1.7048405241042544,26.3947840911233,44.99889754352928
21600,1.9374439414297573,23.22104277090699,44.98946863017501
25200,2.4543325808261383,18.46554897817521,45.32059847997623
28800,2.9740714743918786,15.185403489957556,45.16247534661365
32400,3.153622790579784,14.258082193821338,44.96461295639477
36000,3.1890906673586508,14.05742243645696,44.83039469922299
39600,3.3187602567559757,13.52702634942828,44.89295744057345
43200,3.281037129708729,13.62592332031505,44.70716034051773
46800,3.16987499325346,14.131792850536092,44.79601676675238
50400,3.162928960606876,14.144143124351553,44.73691991098013
54000,3.173140984237293,14.110905255335323,44.77589179039392
57600,3.088942768984315,14.472981393255791,44.70621122034201
61200,3.094956373006725,14.425098178851377,44.645049539883765
64800,2.8944447079822013,15.35590901130163,44.4468295740182
68400,2.5740194561153578,17.284060816200743,44.4895088215818
72000,2.337576648001054,19.030625724569585,44.485546290602
75600,2.247548003633628,19.80647068873627,44.51599365549716
79200,2.2498031768310245,19.721736448581066,44.37002531464188
82800,2.0814752453088863,21.284822885366665,44.303831936674776
