simulation_time,travel_time_factor,speed,speed_nw
0,2.3688118148965667,18.397134785049083,43.57935023906887
3600,2.184860359143574,19.799819787313293,43.25984137148737
7200,2.0754525298813253,20.71677199542909,42.99667684888791
10800,1.9482908019095584,22.17718201282059,43.20759972785246
14400,1.8475193609989864,23.784257311325707,43.941875869655945
18000,1.7169801964769824,25.97353090250583,44.59603819218543
21600,1.816574327563808,24.786019800788964,45.025647252601445
25200,1.9443790455636247,23.18146490985026,45.07355461618131
28800,2.196089178254424,20.485272110816044,44.98748439616028
32400,2.404043429329916,18.628869688468416,44.78461177040573
36000,2.598287142585177,17.179168874747056,44.63641360755474
39600,2.8042292622014107,15.888555533452337,44.55515236101918
43200,2.904763157822666,15.290018145545636,44.41388139162101
46800,3.035096513852223,14.620847796289212,44.37568417608134
50400,3.0934695957159266,14.32144807792621,44.30296419568903
54000,3.174174764687315,13.979680674626856,44.3739496157875
57600,3.1955467365928536,13.867982893497656,44.31578747844196
61200,3.227917931060234,13.717280624151254,44.27825609208295
64800,3.227895941591792,13.673443919783168,44.13645413625105
68400,3.2798572777345734,13.396215946903938,43.937676367556826
72000,3.066769805918645,14.273375719325715,43.77315768456043
75600,2.909999580007753,15.122331027298758,44.0059769381776
79200,2.8412822485146103,15.516171001094913,44.08582123032814
82800,2.622315608089189,16.75815568902669,43.94517322612333
