simulation_time,time_interval,travel_time_factor,travel requests,average travel duration,standard error,25%,50%,75%
0,0,2.573866852742266,3111.0,716.1472195435551,5.8472284615639785,-184.0947229545354,-11.176557709236818,172.2548873726603
900,1,2.469869411444636,2968.0,697.3985849056604,5.898656981148098,-171.24200258456517,6.627890632084871,164.28222771379342
1800,2,2.4025253918985245,2852.0,689.8937587657783,5.6638501911283265,-164.97897368864486,4.790886512438959,164.26763634942776
2700,3,2.322002006243029,2812.0,662.6582503556187,5.312382734849393,-160.6588997439236,0.8512296026766535,157.92962884503953
3600,4,2.2637052673956184,2687.0,652.9058429475251,5.390384680798387,-150.11722155268296,1.14172496819333,161.8581885795245
4500,5,2.2397761892486012,2724.0,647.4720998531571,5.409550067845516,-154.11355309727205,-2.02217598301354,158.09028593525187
5400,6,2.140392484511962,2385.0,618.6972746331238,5.7869617162168,-138.19149902161735,-1.1796409357081643,145.46819204442102
6300,7,2.1163558186526044,2354.0,626.0250637213254,5.459969190628391,-145.86226826420574,1.7903143808674145,142.7669253835515
7200,8,2.098607845991217,2267.0,629.6462284958094,5.849636413920125,-150.99940308952637,-2.9048633501379864,143.05047936615748
8100,9,2.0593728969942053,2138.0,632.6435921421888,5.4804590549031325,-140.18294970447536,4.5693851077500085,146.91511926041187
9000,10,2.0080180848433478,1997.0,597.8112168252377,5.2428924347780885,-122.38712867789913,4.3883649464871715,132.6186288015258
9900,11,1.981351379078436,1772.0,588.5530474040632,6.025784482801018,-133.09122834681565,-1.8366307854230401,138.6715441346896
10800,12,1.914810988485676,1663.0,582.8935658448588,5.871317829423632,-128.97864052354714,4.2643672257570415,131.77355952425637
11700,13,1.891656677826612,1475.0,558.5016949152542,6.047901488640371,-131.52941770803199,12.851738058169474,139.8106207777058
12600,14,1.8552505958620136,1404.0,593.7713675213677,6.240899521880771,-128.6418852606771,-6.820703951716838,125.07121135242315
13500,15,1.842712043402634,1251.0,569.0695443645084,6.759628575768135,-124.6946181562164,4.469120144123224,135.0500988776609
14400,16,1.8206117853678216,1124.0,545.9875444839856,7.151040781599262,-124.84384150303043,1.057031141067796,122.69164424363429
15300,17,1.7933377690463348,825.0,552.1284848484848,8.69677437438188,-118.43570643978909,5.505797266918363,125.06595695258642
16200,18,1.781147390906317,540.0,540.4462962962963,9.399926995835736,-113.54501068050043,-5.438092767775402,105.3488007323772
17100,19,1.7266181486986931,394.0,510.022842639594,11.13735462016304,-124.77866612821458,5.000193327204158,124.65474983459784
18000,20,1.6509119181055427,321.0,476.28037383177565,11.944495680362975,-114.29515047458614,0.2977096763743816,116.67916032265379
18900,21,1.756338809678898,274.0,531.4014598540145,27.5958925471148,-116.80962461701759,-23.653663361559424,85.73300402885336
19800,22,1.5581234145478142,236.0,447.6567796610169,12.341447593362632,-107.1394165535956,2.0370922069494526,96.53183440504984
20700,23,1.6004231372605457,247.0,450.19838056680163,13.010788542722864,-105.89647529540449,-5.245275686878415,93.05176235229776
21600,24,1.810324209407388,272.0,500.9007352941177,18.22574474826637,-137.83764615997876,-34.86616396492161,96.2971033749668
22500,25,1.5737873204888535,310.0,469.81612903225806,11.30932572029942,-92.2878985984893,-0.2455723285391116,110.91669548210024
23400,26,1.6157069026075033,421.0,458.9144893111639,9.305437491099113,-98.21260599775884,1.626135242268674,107.72249912191204
24300,27,1.5760820028539624,492.0,428.77439024390236,9.55221984454836,-105.94720916854072,-5.618906379576997,100.34049002980969
25200,28,1.6607978927411007,513.0,447.37621832358667,8.61915522642203,-106.95410633263134,2.6291455904594727,109.80408715599651
26100,29,1.6628609805238417,570.0,434.38596491228066,8.436256975047566,-120.92881128274004,4.916386836803241,109.83629952988585
27000,30,1.6407968956274752,806.0,457.983870967742,6.691583300546683,-111.29006480777691,3.787394487338503,103.7800336040325
27900,31,1.7912110269060575,945.0,447.2,6.313415324514133,-109.61563501347842,-1.253140735466161,105.87849041249173
28800,32,1.760644070885908,954.0,445.5167714884696,7.010367749300152,-124.13918691642985,-5.0200516151481915,120.86572812155659
29700,33,1.7953913404365078,1027.0,450.7166504381694,6.273389361824725,-111.48331387523808,4.420341402301631,110.03555789138893
30600,34,1.9033563407593077,1238.0,493.15993537964465,5.779975079420099,-120.9065097298342,5.089145981806027,127.56367570129001
31500,35,1.8880594370811292,1461.0,474.1587953456537,5.433849731132676,-115.43279668800709,3.1642314579364665,118.75375910648144
32400,36,1.9248613454224668,1497.0,482.45357381429534,5.357406848219222,-116.8053532260343,-0.3535085404823235,123.4730166598705
33300,37,1.9538926666142429,1883.0,501.43547530536387,4.717597703351503,-122.52683231176093,4.927438012424432,120.67838267369144
34200,38,2.080716837150482,2002.0,529.2597402597403,4.909301718107416,-131.2129018512009,0.8857359147116028,128.72537688738248
35100,39,2.1227025137879005,2423.0,513.8683450268262,4.510157247763504,-136.13240220606409,-2.792883994101203,136.87057615098075
36000,40,2.2148418387374638,2231.0,533.6279695203946,5.066265564157592,-130.62457187719178,2.633091544330341,133.60584144619466
36900,41,2.256166756743959,2480.0,557.1612903225806,4.755129727579586,-140.9003166856346,-2.3870275636514293,134.20069574503174
37800,42,2.3237754891204707,2758.0,579.0514865844815,5.10478999175407,-142.6371137890794,0.4778640793651334,135.57944078899504
38700,43,2.4296817650658604,2957.0,578.6956374704092,4.579576292517807,-143.60624372595976,-3.9914935729690915,137.80642518504428
39600,44,2.480153950113112,2750.0,613.9418181818182,5.412519702791086,-157.38326673913684,-8.357948702882169,154.3267987778006
40500,45,2.598167864798607,2825.0,621.2573451327434,5.110659193224877,-169.35999028861755,-3.0027239243459007,162.54047988441098
41400,46,2.6477039868787324,2914.0,653.1424159231298,5.448220646766272,-174.56152785139247,-8.647040411333307,162.19943992554605
42300,47,2.702816043138703,3101.0,653.6552724927442,5.103636926207535,-164.93229309036698,-5.201316615841222,166.21150792116316
43200,48,2.6911245016906338,3070.0,666.2680781758958,5.248584393480871,-166.79032260186563,-3.705984975068077,170.3395874722065
44100,49,2.777244857861107,3112.0,663.1439588688946,5.256375972613768,-179.19450904079795,4.064749769875476,165.30735752466776
45000,50,2.806989635817064,3298.0,684.3156458459673,5.376575022879707,-175.78394789177864,-7.73152562315073,174.35802605411067
45900,51,2.8509487154518665,3512.0,683.5831435079726,5.2579473626443916,-182.73174948876957,-4.955345416026376,177.62529539738216
46800,52,2.8898381317434696,3256.0,710.3925061425061,5.508438279245159,-189.49258124647056,-8.200764863743814,178.37162732819928
47700,53,2.9429613920465774,3180.0,702.5811320754718,5.6038784107404735,-185.6532542118367,-7.154790099714178,173.3054559584809
48600,54,3.0282839335839005,3162.0,724.685009487666,6.018800642561115,-205.6528438555593,-12.878978543222814,193.1937711118512
49500,55,3.036679055343883,3206.0,729.3883343730505,6.2720810188975165,-204.31016007885125,-9.838660854117505,197.00105381672554
50400,56,3.1174562042232408,3101.0,751.0686875201548,6.131024255532861,-206.3543174711955,-16.055810168330026,193.57559857797568
51300,57,3.1464989478337406,3133.0,767.9074369613788,6.1663900172725095,-216.67605703800476,-17.426917931031767,199.68117465959904
52200,58,3.1219820483691034,3170.0,769.8157728706625,6.342677291017539,-217.63016595535618,-18.285235448841945,200.23129228202686
53100,59,3.1455122936209308,3029.0,771.946517002311,6.611446490517652,-208.98823708251663,-16.848606247637466,197.21938567544623
54000,60,3.2308158412697088,2947.0,787.0352901255515,6.46705770759781,-214.74414644440637,-17.387924730149336,205.38065349207483
54900,61,3.181891091695857,2880.0,790.7253472222222,6.719871422506562,-213.98139451699927,-13.647044933443055,207.40444290438916
55800,62,3.2251590489394,2993.0,786.5853658536586,6.667121047423793,-218.64071652848637,-7.765528163032742,206.13950276999958
56700,63,3.2678542843421985,3070.0,791.3029315960913,6.460047593228465,-213.66434174117856,-21.008186786800536,196.27274806192685
57600,64,3.3107015082570963,2958.0,819.3225152129817,6.8808546305922755,-217.9964223119869,-15.888279554175568,190.9203998568378
58500,65,3.3373712590225666,2870.0,815.179094076655,7.0437127544398646,-222.61098542124333,-21.43609597443725,192.3008829990585
59400,66,3.3670518418584297,2874.0,840.6019485038273,7.4628871150033405,-238.48768726245945,-24.69214532500638,211.433541600175
60300,67,3.2737186095478963,2718.0,824.8638704930097,6.942464034346666,-221.56951311397373,-19.70663890357196,203.30916766203003
61200,68,3.3584476000402033,2768.0,845.0354046242775,7.29055972445654,-237.33796502361932,-24.31966200984971,212.571333295045
62100,69,3.463661536461104,2711.0,864.6709701217262,8.107673209634225,-246.61732242278092,-23.98624507961267,215.534477434188
63000,70,3.4011928159754263,2889.0,833.2121841467634,7.262953694391864,-234.1960149038414,-25.345916632873468,201.72565232565205
63900,71,3.3721946843892523,2826.0,819.4600141542818,7.425947763975407,-231.2006656162812,-25.2325827251388,205.7682174414473
64800,72,3.30120807385675,2790.0,819.1007168458782,7.199556297463162,-228.40443461190102,-24.019606823457714,213.26456066298888
65700,73,3.1547139292114323,2962.0,769.0749493585415,6.094179606504654,-202.51067451052086,-11.593874204743454,196.87570593302254
66600,74,3.138820534087412,2764.0,785.9077424023155,6.8586598519977775,-206.18455651902508,-15.434874772237634,200.98343240966446
67500,75,3.0413550490517163,2837.0,728.3225237927388,6.108800586388317,-190.831061916292,-13.48526387836057,187.5974462197429
68400,76,2.8739623418373004,2500.0,725.9284,6.347684795156452,-187.25604898094926,-8.512097961898462,179.06319579710834
69300,77,2.8208300841337057,2431.0,705.3142739613327,6.661306837377524,-191.2869248916659,-9.82443463926478,174.90681048693577
70200,78,2.633568972362604,2343.0,668.1284677763551,6.12260234819358,-176.3047860743053,-4.626175110865916,174.87842943951335
