simulation_time,time_interval,travel_time_factor,travel requests,average travel duration,standard error,25%,50%,75%
86400,0,1.7845361903535322,854.0,519.195550351288,7.319144380948628,-111.8866475626248,4.9102847897482045,123.40873526949578
87300,1,1.8020087485643068,725.0,508.5517241379312,7.887760508473788,-109.83363065418736,11.339996578773766,116.9411304709074
88200,2,1.7674901441614843,707.0,511.7496463932108,7.924139007373787,-105.43948734984195,4.983390408449393,124.62134039403813
89100,3,1.7500032874406617,523.0,508.91969407265776,10.430353522162507,-116.50082843504671,7.2493129249016866,130.37451510250241
90000,4,1.702301394275364,464.0,502.3146551724138,10.170869500674437,-106.29008632967418,1.8570922529707727,124.07016477135788
90900,5,1.7336302443666205,431.0,515.7006960556845,10.11044761333876,-104.45745228494098,1.2084721041424586,135.54254771505902
91800,6,1.672401842092769,362.0,486.5441988950277,11.886051544421198,-113.32569197170395,-3.2566965769358664,97.61322223804777
92700,7,1.715763346891781,349.0,520.9283667621777,11.331937424028144,-110.310302847274,-11.630949122790526,101.83698719340134
93600,8,1.7013324839411796,269.0,476.5501858736058,14.046669537851555,-113.63178850135375,-15.039655996177773,107.65875670223495
94500,9,1.6565190349929622,298.0,509.44630872483214,14.332050904720154,-119.91619201937868,8.08103374905889,119.73524501620348
95400,10,1.7321131851204987,278.0,513.7086330935251,12.794298552353954,-111.48046974493326,-13.155581025846288,117.59940993826487
96300,11,1.7633572567783091,208.0,510.2884615384616,14.904692565756305,-127.71127392344499,-5.8050239234449625,107.89334130781499
97200,12,1.6490379668690194,194.0,495.680412371134,15.990745277103546,-112.75712521864388,-10.980502109270446,120.31255787632472
98100,13,1.6101621176039569,156.0,450.7628205128205,16.635965895265393,-134.99453311045977,8.705200128228654,127.11530271111928
99000,14,1.6220099932669478,181.0,505.76243093922653,15.152934041249207,-110.91395868032178,6.086041319678202,120.94716325879723
99900,15,1.611642453591606,168.0,475.4345238095239,13.287426943404707,-120.67351190476192,7.395207828894286,93.92773910411623
100800,16,1.6202298558638644,194.0,526.1237113402062,14.602798960972464,-114.00492094736171,7.45012381738522,113.077592228078
101700,17,1.5939596673994074,177.0,471.11864406779677,15.518037532640495,-104.61743285864479,-15.140915607378359,65.98323616553569
102600,18,1.5143301420818345,201.0,494.19900497512435,14.364462272499885,-117.51832428806642,0.014665528385876312,113.33614854564304
103500,19,1.5761827613371189,239.0,443.6987447698745,15.793206535187636,-111.43118952422009,-11.653532305771478,79.10406664783959
104400,20,1.683103633434759,218.0,431.35321100917434,13.614136185106261,-117.73928315732954,-7.525371397887953,100.48315285484156
105300,21,1.5979453810070308,332.0,431.9698795180723,9.499780195055283,-103.92745044513029,2.364343892411057,103.71742582090047
106200,22,1.6168157535097527,479.0,434.6972860125261,8.273685143006713,-105.63810721828794,3.825040377686719,99.5940955398186
107100,23,1.6897992244502271,642.0,412.69003115264803,7.023290471336068,-99.75353812694529,7.028027577937635,100.39047910607685
108000,24,1.719282585986199,828.0,423.3816425120774,6.5738549514217866,-103.80338059529473,3.7928091849395855,95.2385568345112
108900,25,1.7709690905945448,1078.0,455.8126159554731,5.789721353837237,-113.67686948561213,-5.921115420102653,113.43352099071564
109800,26,1.8675071595510047,1412.0,482.1501416430594,5.433155810660414,-118.74346588103624,2.501662332532348,120.133381612298
110700,27,1.9694518500806981,1727.0,476.9392009264621,5.138192201105581,-125.44247354892698,1.630756171917028,127.1361336601112
111600,28,2.167479207239236,1826.0,544.9014238773275,5.833928290477656,-137.0795810514667,3.7830516671241696,145.3890882118444
112500,29,2.2969272380788235,2041.0,574.6065654091133,6.17096405979019,-149.46361903941167,-0.2284662826611452,147.94555047857057
113400,30,2.5392856291929458,2387.0,625.0812735651448,6.397314149396801,-170.48390640476248,-10.621388237456586,167.6839492915176
114300,31,2.674503884931526,2444.0,622.7982815057284,6.10860816433288,-177.1334674287761,3.6995248821870064,177.14365812602568
115200,32,2.7969480772098083,2500.0,652.8088,6.211164535624938,-173.6164188236182,-2.196531796860711,178.4454816701257
116100,33,2.996357053003773,2480.0,710.7407258064516,6.994652767397122,-205.42122955835862,5.577407098901858,208.30007947166214
117000,34,3.0313286717638968,2680.0,726.9555970149254,7.229365744637213,-211.360000046678,-1.6260140780641452,230.8436363197874
117900,35,3.1721705999614174,2762.0,714.4160028964517,7.08289485610569,-205.763796138512,-6.769001993440981,212.3312721046878
118800,36,3.2045742721117727,2615.0,768.3441682600383,7.876297026566688,-220.3697456876959,3.4968300677049338,245.78971984975712
119700,37,3.289395781876583,2616.0,764.144495412844,8.168425866658168,-232.29740452287362,-17.446542846846626,217.06899866877498
120600,38,3.1418269671294965,2752.0,747.5675872093024,7.213705961506686,-209.93630690946404,-4.032459698356149,217.09854584216546
121500,39,3.1576304093453045,2710.0,715.9653136531365,6.885752372631803,-201.9186456110885,-2.8016783596893333,201.27536783792183
122400,40,3.1820139972234545,2405.0,739.5609147609148,7.603702097175837,-213.8976828727225,-8.796983011549855,207.61012437205707
123300,41,3.2227693157240807,2488.0,760.0152733118971,7.549408835226622,-216.7940154617826,-4.016934333440702,206.93875109290875
124200,42,3.2528556406944453,2463.0,769.9204222492896,8.161880824954302,-220.19287818048656,-7.848388164722338,215.3172389955555
125100,43,3.2740143109491875,2512.0,755.546576433121,7.360237259420963,-221.7237789289558,-8.002055387651467,218.8296162988877
126000,44,3.3665247039201622,2488.0,788.5651125401929,8.031148828049165,-235.8084549625761,-1.5538760634336768,231.4281086238079
126900,45,3.310437005435304,2466.0,769.3544201135443,7.656727854210197,-217.514702366931,-12.694444299037686,208.4817236806519
127800,46,3.3954213430153466,2621.0,782.827928271652,7.834823892006153,-217.31320145230202,-12.565027586457973,214.87724936370773
128700,47,3.3109194165432663,2674.0,770.9390426327599,7.628400793220464,-221.24725400476044,-17.33532460482401,206.39340447196912
129600,48,3.3602786473033306,2630.0,796.7361216730037,8.229263642198706,-227.27713988813062,-8.118097962744457,221.0494881202853
130500,49,3.3525640413607416,2702.0,779.7279792746114,7.755496146151018,-228.68266467437482,-11.897424023983884,222.3221270897581
131400,50,3.3516223993100764,2662.0,759.1701728024042,7.749038879573662,-216.72905268133306,-3.82949424925161,216.68363213453517
132300,51,3.207562172685148,2661.0,747.3547538519355,7.384316653146616,-217.11740835184128,-8.890543171286822,205.9759260782539
133200,52,3.243118319372877,2586.0,765.6744006187163,7.398041101683768,-208.5353059780454,-10.236185044567547,215.63442494603083
134100,53,3.162910391505878,2639.0,747.2690413035243,7.273363729927857,-214.28908883863411,-5.75723267414071,206.0132191374361
135000,54,3.1683939135839414,2793.0,739.1954887218045,6.9002263704969415,-194.85754011187592,-3.839391358394153,200.549213876292
135900,55,3.102144080735858,2771.0,721.4886322627209,6.5395425854085705,-204.1917662830968,-9.122383904964067,200.91796773172462
