node_index,source_node_id,pos_x,pos_y,is_stop_only
143,85897044,32957.41,22466.86,False
144,85897242,32993.96,22572.81,False
145,cluster_1623706169_50163928,33408.9,22919.27,False
146,85933069,31514.79,22461.94,False
147,85933198,31733.96,22457.34,False
148,cluster_1899085495_1899085496_1899085543_1899085548_29857969_29857970_3420350727_3420350731_3420350740_3420350759_3420350765_3420350766_4151428082,31504.22,21569.1,False
149,85941845,31504.74,21630.51,False
150,cluster_195384987_85943220,31283.19,22055.17,False
151,85942448,31341.07,22054.39,False
152,1865877932,34621.96,9323.87,False
153,86022780,34541.79,9309.72,False
154,1638690351,34781.32,9084.35,False
155,86022784,34739.0,9324.48,False
156,31496611,42407.58,7629.36,False
157,31496612,42338.18,7668.37,False
158,7140447749,12759.18,20099.18,False
159,cluster_26904696_282763132_cluster_16541478_282763131,12523.54,20074.47,False
160,cluster_1735542977_cluster_1735542978_26904555_27587520,13056.42,20121.13,False
161,7140447749,12759.18,20099.18,False
162,60180384,7470.71,20539.69,False
163,267166233,7429.31,20653.75,False
164,262514711,7491.21,20738.47,False
165,262515039,7551.84,20740.95,False
166,262471605,22668.73,22140.32,False
167,cluster_26753142_27484568,22704.32,22210.5,False
168,150907238,16573.49,10135.72,False
169,148805610,16466.84,10093.23,False
170,150907237,16641.84,10180.83,False
171,150907238,16573.49,10135.72,False
172,278713316,16692.8,10156.35,False
173,150907237,16641.84,10180.83,False
174,148805641,16749.1,10544.73,False
175,148805646,16611.87,10493.05,False
176,148805616,16850.62,10583.9,False
177,148805641,16749.1,10544.73,False
178,150906665,16582.2,10810.65,False
179,6064397934,16393.34,10607.76,False
180,1189661688,11208.57,12298.06,False
181,27276971,11331.79,12378.26,False
182,55169074,31969.56,22412.32,False
183,55169163,31733.23,22417.18,False
184,50164158,32819.25,22853.86,False
185,59955346,32830.05,23001.37,False
186,86798752,32854.12,23271.22,False
187,86798625,32852.51,23183.97,False
188,3237188620,32805.63,23271.74,False
189,86798752,32854.12,23271.22,False
190,55984015,32751.73,23185.47,False
191,3237188620,32805.63,23271.74,False
192,49528831,33439.19,23120.01,False
193,50161051,33442.5,23206.89,False
194,2140194961,33441.29,23101.69,False
195,49528831,33439.19,23120.01,False
196,86801574,32709.19,23462.35,False
197,86801417,32560.91,23252.13,False
198,50161695,33483.91,23201.93,False
199,50161931,33542.96,23622.64,False
200,86950004,32032.37,24046.03,False
201,86948749,32241.33,24069.39,False
202,86952005,31914.18,23830.53,False
203,86951534,32096.21,23819.85,False
204,86952006,31860.04,23860.54,False
205,86952005,31914.18,23830.53,False
206,86952005,31914.18,23830.53,False
207,1895428274,31843.18,23699.83,False
208,86950004,32032.37,24046.03,False
209,86952005,31914.18,23830.53,False
210,cluster_86953349_86953350,32374.6,24190.74,False
211,86953348,32393.58,24225.61,False
212,27556451,20938.73,13002.39,False
213,1190374193,20934.76,13033.11,False
214,27556449,20951.26,12878.09,False
215,27556451,20938.73,13002.39,False
216,6042744977,20974.71,12635.56,False
217,27556449,20951.26,12878.09,False
218,260050551,16949.62,11556.59,False
219,cluster_149129359_260035622,17016.46,11668.69,False
220,260035202,16964.03,11509.13,False
221,260050551,16949.62,11556.59,False
222,cluster_26729602_7861935062,16562.55,11442.95,False
223,59704011,16533.7,11569.55,False
224,26729604,16685.73,11473.53,False
225,cluster_26729602_7861935062,16562.55,11442.95,False
226,6061477314,17227.16,11393.44,False
227,245921950,17397.19,11577.54,False
228,150903940,17713.66,12349.92,False
229,150903957,17870.28,12412.39,False
230,1614400258,17527.73,12277.0,False
231,150903940,17713.66,12349.92,False
232,150904023,17278.35,12178.34,False
233,1614400258,17527.73,12277.0,False
234,7979680397,17660.45,12482.26,False
235,31174083,17636.85,12540.96,False
236,150903940,17713.66,12349.92,False
237,7979680397,17660.45,12482.26,False
238,150903941,17770.31,12222.14,False
239,150903940,17713.66,12349.92,False
240,1614400258,17527.73,12277.0,False
241,cluster_260611071_338884561_338884563,17577.63,12146.54,False
242,7979680399,17474.06,12410.72,False
243,1614400258,17527.73,12277.0,False
244,245921949,17451.31,12467.4,False
245,7979680399,17474.06,12410.72,False
246,cluster_2060277800_8022409908,17376.6,12674.39,False
247,245921949,17451.31,12467.4,False
248,150903874,17282.58,12887.52,False
249,cluster_2060277800_8022409908,17376.6,12674.39,False
250,31174085,17201.5,12367.31,False
251,26729598,17038.1,12302.97,False
252,245921949,17451.31,12467.4,False
253,31174085,17201.5,12367.31,False
254,31174083,17636.85,12540.96,False
255,245921949,17451.31,12467.4,False
256,cluster_148809089_6065913405,17795.79,12606.72,False
257,31174083,17636.85,12540.96,False
258,26646235,15409.33,19270.77,False
259,442032873,15407.7,19419.03,False
260,cluster_26731295_26731296,15400.85,18982.49,False
261,26646235,15409.33,19270.77,False
262,59702079,15373.29,12601.45,False
263,59702078,15224.88,12505.81,False
264,573242035,15454.91,12654.21,False
265,59702079,15373.29,12601.45,False
266,27432051,15891.74,12698.32,False
267,27432054,15737.46,12693.33,False
