,index,from_node,to_node,source_edge_id,edge_tt,edge_var,distance
0,1,0,1,--153692837#1,7.6,5.300000000000001,43.86
1,5,2,3,-101238042,6.0,0.6666666666666665,25.49
2,8,4,5,-101731827#0,2.2962962962962963,2.9955001730702655,1.56
3,12,6,7,-101731827#1,1.4102564102564104,0.9851551956815117,3.01
4,15,8,9,-101731827#2,6.0,0.6666666666666665,20.95
5,20,12,13,-102461801,27.0,8.0,126.31
6,23,14,15,-102818928#0,6.487179487179487,0.8504828504828498,50.99
7,27,16,17,-102818928#1,11.052631578947368,0.8304093567251457,101.05
8,32,20,21,-103053774#0,3.0,0.0,3.7
9,35,22,23,-103053774#1,2.0,0.0,0.28
10,38,24,25,-103053774#2,1.0,0.0,3.21
11,47,36,37,-103053803,11.0,0.0,41.75
12,50,38,39,-103396186,6.0,0.0,9.08
13,54,40,41,-103512657,9.0,0.0,41.93
14,58,42,43,-103512667#0,8.794871794871796,1.798920377867746,42.99
15,62,44,45,-103512667#2,4.125,0.3064516129032259,18.6
16,65,46,47,-103512672,34.0,0.0,160.59
17,69,48,49,-103671248,4.125,0.4107142857142856,4.61
18,72,50,51,-103671254,5.0,0.0,23.07
19,75,52,53,-103671264,4.782608695652174,1.0869565217391308,32.59
20,100,72,73,-103671267#4,3.0,0.0,1.96
21,104,74,75,-103671267#5,4.0,0.0,3.02
22,108,76,77,-103671267#6,4.0,0.0,3.63
23,111,78,79,-103671267#7,2.3333333333333335,1.3333333333333335,6.15
24,117,82,83,-103671270,6.126760563380282,0.940845070422536,48.69
25,119,84,85,-103678452,2.0,0.0,0.2
26,122,86,87,-103678458#0,3.0,0.0,0.2
27,124,88,89,-103678458#1,3.0,0.0,0.2
28,130,92,93,-103687101,1.0,0.0,0.2
29,134,94,95,-103718186,36.0,1015.8666666666666,13.91
30,139,98,99,-1040258009,8.7109375,1.6559424212598417,128.51
31,143,100,101,-104236368#0,10.25,0.9166666666666671,68.52
32,147,102,103,-104236369,0.8571428571428571,0.14285714285714288,3.18
33,151,104,105,-1042557946,2.4105263157894736,0.9466965285554308,22.63
34,155,106,107,-1042557947,1.103896103896104,0.09432672590567329,11.41
35,159,108,109,-10425610#1,23.4,2091.159322033898,30.71
36,163,110,111,-10425611#0,13.783333333333333,71.75726256983243,100.46
37,167,112,113,-10425611#1,6.670807453416149,0.6472049689440983,62.66
38,171,114,115,-10427692#1,20.846153846153847,255.80769230769235,40.52
39,175,116,117,-10427692#2,1.7142857142857142,0.5714285714285715,9.82
40,179,118,119,-10427692#3,3.769230769230769,0.858974358974359,19.0
41,183,120,121,-10427692#4,5.333333333333333,8.424242424242422,21.47
42,187,122,123,-10427692#5,4.75,0.75,58.42
43,191,124,125,-10427692#6,2.8333333333333335,0.15151515151515152,31.48
44,195,126,127,-10427692#7,6.583333333333333,0.8106060606060606,54.49
45,199,128,129,-104847200,16.181818181818183,25.96363636363636,66.07
46,204,134,135,-105143683#0,26.0,0.0,112.05
47,208,136,137,-105143683#1,8.869565217391305,23.573122529644273,28.17
48,212,138,139,-105467137,11.333333333333334,0.3333333333333335,68.83
49,217,142,143,-105540411,10.0,0.0,36.62
50,220,144,145,-10597452#0,12.0,0.0,144.65
51,223,146,147,-10597452#1,13.0,1.0,115.78
52,227,148,149,-10597454#1,16.0,350.49999999999994,13.2
53,231,150,151,-10597454#2,5.75,0.24999999999999992,28.86
54,235,152,153,-10597455#0,1.3333333333333333,0.2666666666666667,0.2
55,239,154,155,-10597455#1,6.0,0.0,17.94
56,242,156,157,-106083637,6.0,0.0,25.74
57,245,160,161,-107431496#0,5.448979591836735,1.9608843537414966,80.97
58,249,162,163,-107431496#1,15.925,0.7378205128205131,250.33
59,253,166,167,-108237964#0,1.5,1.0000000000000002,3.79
60,256,168,169,-108237964#1,12.0,0.0,52.02
61,258,170,171,-108237964#2,3.0,3.0,6.04
62,261,172,173,-108239224#0,8.0,0.0,90.82
63,264,174,175,-108239224#1,9.0,0.0,85.57
64,268,176,177,-108239938,9.5,0.6176470588235299,71.63
65,272,178,179,-108240279#0,1.0,0.0,5.18
66,276,180,181,-108240279#1,14.583333333333334,4.992424242424242,19.08
67,280,182,183,-108240279#2,14.882352941176471,7.985294117647059,19.19
68,285,190,191,-108310250,0.9375,0.0625,2.67
69,289,192,193,-108310251,1.5,0.2857142857142857,7.88
