node_index,source_node_id,pos_x,pos_y,is_stop_only
16583,6004530863,8087.86,6719.1,False
16584,787947385,7783.93,5843.43,False
16585,787947411,7759.14,5849.91,False
16586,787947397,7807.53,5837.27,False
16587,787947385,7783.93,5843.43,False
16588,787947392,7717.95,5834.49,False
16589,787947415,7662.9,5847.48,False
16590,787947419,7792.88,5877.47,False
16591,787947431,7768.09,5883.95,False
16592,787947364,7816.48,5871.3,False
16593,787947419,7792.88,5877.47,False
16594,787947427,7673.54,5892.27,False
16595,308815503,7667.08,5865.06,False
16596,787947415,7662.9,5847.48,False
16597,787947392,7717.95,5834.49,False
16598,308815503,7667.08,5865.06,False
16599,787947415,7662.9,5847.48,False
16600,787947371,7742.35,5771.23,False
16601,1832775972,7732.08,5813.63,False
16602,286696721,7722.13,5852.07,False
16603,279305436,7705.68,5855.96,False
16604,787947392,7717.95,5834.49,False
16605,286696721,7722.13,5852.07,False
16606,1636343132,5214.54,4930.86,False
16607,273887967,5186.58,4856.15,False
16608,1636343150,5234.9,4950.79,False
16609,1636343132,5214.54,4930.86,False
16610,6032664459,7877.02,5174.48,False
16611,6032664460,7871.74,5211.66,False
16612,6032664461,7952.9,5216.87,False
16613,6032664462,7953.75,5179.48,False
16614,6032664469,7909.24,5249.52,False
16615,6032664470,7903.59,5293.9,False
16616,6032664710,7695.63,5320.55,False
16617,6032664714,7677.34,5272.81,False
16618,2118007006,7815.24,5272.03,False
16619,6032664789,7828.05,5224.59,False
16620,790240316,10081.79,5801.96,False
16621,790240323,10071.12,5820.16,False
16622,790240337,10088.03,5798.42,False
16623,790240316,10081.79,5801.96,False
16624,270494102,9947.65,5906.07,False
16625,270494100,9986.02,5866.64,False
16626,1821113924,8843.39,5311.25,False
16627,432831904,8845.99,5215.57,False
16628,791092233,7883.67,4312.23,False
16629,791092224,7890.43,4325.96,False
16630,791092283,7864.8,4314.87,False
16631,791092258,7873.48,4332.25,False
16632,791092271,7901.23,4306.33,False
16633,791092246,7907.62,4318.89,False
16634,791092207,7856.54,4338.96,False
16635,791092248,7846.2,4315.04,False
16636,791129443,8306.02,4373.07,False
